S-10B
S-30B Google 9 50.90909090909091 S:8, I:0, D:20
S-30B Kaldi 9 18.181818181818183 S:7, I:0, D:3
S-30B Google 10 64.70588235294117 S:5, I:0, D:17
S-30B Kaldi 10 38.23529411764706 S:12, I:0, D:1
S-30B Google 11 43.10344827586207 S:4, I:1, D:20
S-30B Kaldi 11 32.758620689655174 S:9, I:3, D:7
S-9A
S-2B
S-2B Google 0 57.65765765765766 S:14, I:0, D:50
S-2B Kaldi 0 43.24324324324324 S:32, I:2, D:14
S-2B Google 1 67.58620689655173 S:25, I:0, D:73
S-2B Kaldi 1 55.86206896551724 S:47, I:1, D:33
S-2B Google 2 57.34406438631791 S:138, I:5, D:142
S-2B Kaldi 2 40.84507042253521 S:119, I:10, D:74
S-2B Google 3 48.87640449438202 S:38, I:0, D:49
S-2B Kaldi 3 33.146067415730336 S:36, I:0, D:23
S-2B Google 4 49.45652173913044 S:82, I:1, D:99
S-2B Kaldi 4 39.94565217391305 S:100, I:4, D:43
S-2B Google 5 53.048780487804876 S:93, I:2, D:166
S-2B Kaldi 5 32.31707317073171 S:85, I:2, D:72
S-17A
S-17A Google 0 33.95061728395062 S:80, I:2, D:83
S-17A Kaldi 0 20.5761316872428 S:69, I:8, D:23
S-17A Google 1 26.450511945392492 S:79, I:4, D:72
S-17A Kaldi 1 14.505119453924914 S:59, I:4, D:22
S-17A Google 2 22.0125786163522 S:29, I:3, D:38
S-17A Kaldi 2 10.062893081761006 S:21, I:5, D:6
S-17A Google 3 29.78723404255319 S:107, I:6, D:69
S-17A Kaldi 3 16.366612111292962 S:69, I:13, D:18
S-17A Google 4 29.658385093167702 S:102, I:3, D:86
S-17A Kaldi 4 14.130434782608695 S:59, I:5, D:27
S-17A Google 5 30.3951367781155 S:41, I:0, D:59
S-17A Kaldi 5 14.285714285714286 S:31, I:2, D:14
S-17A Google 6 35.49618320610687 S:55, I:6, D:32
S-17A Kaldi 6 17.938931297709924 S:36, I:6, D:5
S-17A Google 7 35.140562248995984 S:114, I:5, D:56
S-17A Kaldi 7 18.27309236947791 S:64, I:9, D:18
S-17A Google 8 29.74137931034483 S:31, I:5, D:33
